Index,Date,Sample_Name,Reference_Gas,Setting,Electron_Energy
621,3/26/2019,A2,1,1,70
622,3/26/2019,A2,1,1,70
623,3/26/2019,A2,1,1,70
624,3/26/2019,A2,1,1,70
625,3/26/2019,A2,1,1,70
626,3/26/2019,A2,1,1,70
627,3/26/2019,A2,1,1,70
628,3/26/2019,A2,1,1,70
629,3/26/2019,A2,1,1,70
630,3/26/2019,A2,1,1,70
631,3/26/2019,A2,1,1,70
632,3/26/2019,A2,1,1,70
633,4/9/2019,B2,1,1,70
634,4/9/2019,B2,1,1,70
635,4/9/2019,B2,1,1,70
636,4/9/2019,B2,1,1,70
637,4/9/2019,B2,1,1,70
638,4/9/2019,B2,1,1,70
639,4/9/2019,B2,1,1,70
640,4/9/2019,B2,1,1,70
641,4/9/2019,B2,1,1,70
642,4/9/2019,B2,1,1,70
643,4/9/2019,B2,1,1,70
644,4/9/2019,B2,1,1,70
645,4/9/2019,B2,1,1,70
646,4/9/2019,B2,1,1,70
647,4/10/2019,C2,1,1,70
648,4/10/2019,C2,1,1,70
649,4/10/2019,C2,1,1,70
650,4/10/2019,C2,1,1,70
651,4/10/2019,C2,1,1,70
652,4/10/2019,C2,1,1,70
653,4/10/2019,C2,1,1,70
654,4/10/2019,C2,1,1,70
655,4/10/2019,C2,1,1,70
656,4/10/2019,C2,1,1,70
657,4/10/2019,C2,1,1,70
658,4/10/2019,C2,1,1,70
659,4/10/2019,C2,1,1,70
660,4/10/2019,C2,1,1,70
661,4/12/2019,C2,1,1,90
662,4/12/2019,C2,1,1,90
663,4/12/2019,C2,1,1,90
664,4/12/2019,C2,1,1,90
665,4/12/2019,C2,1,1,90
666,4/12/2019,C2,1,1,90
667,4/12/2019,C2,1,1,90
668,4/12/2019,C2,1,1,90
669,4/12/2019,C2,1,1,90
670,4/12/2019,C2,1,1,90
671,4/12/2019,C2,1,1,90
672,4/12/2019,C2,1,1,90
673,4/12/2019,C2,1,1,90
674,4/12/2019,C2,1,1,90
675,4/12/2019,A2,1,1,90
676,4/12/2019,A2,1,1,90
677,4/12/2019,A2,1,1,90
678,4/12/2019,A2,1,1,90
679,4/12/2019,A2,1,1,90
680,4/12/2019,A2,1,1,90
681,4/12/2019,A2,1,1,90
682,4/12/2019,A2,1,1,90
683,4/12/2019,A2,1,1,90
684,4/12/2019,A2,1,1,90
685,4/12/2019,A2,1,1,90
686,4/12/2019,A2,1,1,90
687,4/12/2019,A2,1,1,90
688,4/12/2019,A2,1,1,90
689,4/12/2019,B2,1,1,90
690,4/12/2019,B2,1,1,90
691,4/12/2019,B2,1,1,90
692,4/12/2019,B2,1,1,90
693,4/12/2019,B2,1,1,90
694,4/12/2019,B2,1,1,90
695,4/12/2019,B2,1,1,90
696,4/12/2019,B2,1,1,90
697,4/12/2019,B2,1,1,90
698,4/12/2019,B2,1,1,90
699,4/12/2019,B2,1,1,90
700,4/12/2019,B2,1,1,90
701,4/12/2019,B2,1,1,90
702,4/12/2019,B2,1,1,90
703,4/13/2019,D2,1,1,90
704,4/13/2019,D2,1,1,90
705,4/13/2019,D2,1,1,90
706,4/13/2019,D2,1,1,90
707,4/13/2019,D2,1,1,90
708,4/13/2019,D2,1,1,90
709,4/13/2019,D2,1,1,90
710,4/13/2019,D2,1,1,90
711,4/13/2019,D2,1,1,90
712,4/13/2019,D2,1,1,90
713,4/13/2019,D2,1,1,90
714,4/13/2019,D2,1,1,90
715,4/13/2019,D2,1,1,90
716,4/13/2019,D2,1,1,90
717,4/14/2019,D2,1,1,110
718,4/14/2019,D2,1,1,110
719,4/14/2019,D2,1,1,110
720,4/14/2019,D2,1,1,110
721,4/14/2019,D2,1,1,110
722,4/14/2019,D2,1,1,110
723,4/14/2019,D2,1,1,110
724,4/14/2019,D2,1,1,110
725,4/14/2019,D2,1,1,110
726,4/14/2019,D2,1,1,110
727,4/14/2019,D2,1,1,110
728,4/14/2019,D2,1,1,110
729,4/14/2019,D2,1,1,110
730,4/14/2019,D2,1,1,110
731,4/14/2019,A2,1,1,110
732,4/14/2019,A2,1,1,110
733,4/14/2019,A2,1,1,110
734,4/14/2019,A2,1,1,110
735,4/14/2019,A2,1,1,110
736,4/14/2019,A2,1,1,110
737,4/14/2019,A2,1,1,110
738,4/14/2019,A2,1,1,110
739,4/14/2019,A2,1,1,110
740,4/14/2019,A2,1,1,110
741,4/14/2019,A2,1,1,110
742,4/14/2019,A2,1,1,110
743,4/14/2019,A2,1,1,110
744,4/14/2019,A2,1,1,110
745,4/14/2019,B2,1,1,110
746,4/14/2019,B2,1,1,110
747,4/14/2019,B2,1,1,110
748,4/14/2019,B2,1,1,110
749,4/14/2019,B2,1,1,110
750,4/14/2019,B2,1,1,110
751,4/14/2019,B2,1,1,110
752,4/14/2019,B2,1,1,110
753,4/14/2019,B2,1,1,110
754,4/14/2019,B2,1,1,110
755,4/14/2019,B2,1,1,110
756,4/14/2019,B2,1,1,110
757,4/14/2019,B2,1,1,110
758,4/14/2019,B2,1,1,110
759,4/15/2019,C2,1,1,110
760,4/15/2019,C2,1,1,110
761,4/15/2019,C2,1,1,110
762,4/15/2019,C2,1,1,110
763,4/15/2019,C2,1,1,110
764,4/15/2019,C2,1,1,110
765,4/15/2019,C2,1,1,110
766,4/15/2019,C2,1,1,110
767,4/15/2019,C2,1,1,110
768,4/15/2019,C2,1,1,110
769,4/15/2019,C2,1,1,110
770,4/15/2019,C2,1,1,110
771,4/15/2019,C2,1,1,110
772,4/15/2019,C2,1,1,110
773,4/15/2019,C2,1,1,124
